year,month,passengers,passengers_capped,season
1958,Apr,348,348,Shoulder (Spring/Late Fall)
1958,May,363,363,Peak (Summer/Early Fall)
1958,Jun,435,435,Peak (Summer/Early Fall)
1958,Jul,491,491,Peak (Summer/Early Fall)
1958,Aug,505,505,Peak (Summer/Early Fall)
1958,Sep,404,404,Peak (Summer/Early Fall)
1958,Oct,359,359,Shoulder (Spring/Late Fall)
1958,Nov,310,310,Shoulder (Spring/Late Fall)
1958,Dec,337,337,Off-Peak (Winter)
1959,Jan,360,360,Off-Peak (Winter)
1959,Feb,342,342,Off-Peak (Winter)
1959,Mar,406,406,Shoulder (Spring/Late Fall)
1959,Apr,396,396,Shoulder (Spring/Late Fall)
1959,May,420,420,Peak (Summer/Early Fall)
1959,Jun,472,472,Peak (Summer/Early Fall)
1959,Jul,548,548,Peak (Summer/Early Fall)
1959,Aug,559,559,Peak (Summer/Early Fall)
1959,Sep,463,463,Peak (Summer/Early Fall)
1959,Oct,407,407,Shoulder (Spring/Late Fall)
1959,Nov,362,362,Shoulder (Spring/Late Fall)
1959,Dec,405,405,Off-Peak (Winter)
1960,Jan,417,417,Off-Peak (Winter)
1960,Feb,391,391,Off-Peak (Winter)
1960,Mar,419,419,Shoulder (Spring/Late Fall)
1960,Apr,461,461,Shoulder (Spring/Late Fall)
1960,May,472,472,Peak (Summer/Early Fall)
1960,Jun,535,535,Peak (Summer/Early Fall)
1960,Jul,622,622,Peak (Summer/Early Fall)
1960,Aug,606,606,Peak (Summer/Early Fall)
1960,Sep,508,508,Peak (Summer/Early Fall)
1960,Oct,461,461,Shoulder (Spring/Late Fall)
1960,Nov,390,390,Shoulder (Spring/Late Fall)
1960,Dec,432,432,Off-Peak (Winter)
