species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,body_mass_g_capped,flipper_bill_ratio
Adelie,Dream,39.5,17.8,188.0,3300.0,Female,3300.0,4.7594936708860756
Adelie,Dream,40.9,18.9,184.0,3900.0,Male,3900.0,4.49877750611247
Adelie,Dream,36.4,17.0,195.0,3325.0,Female,3325.0,5.357142857142858
Adelie,Dream,39.2,21.1,196.0,4150.0,Male,4150.0,5.0
Adelie,Dream,38.8,20.0,190.0,3950.0,Male,3950.0,4.896907216494846
Adelie,Dream,42.2,18.5,180.0,3550.0,Female,3550.0,4.265402843601896
Adelie,Dream,37.6,19.3,181.0,3300.0,Female,3300.0,4.8138297872340425
Adelie,Dream,39.8,19.1,184.0,4650.0,Male,4650.0,4.623115577889448
Adelie,Dream,36.5,18.0,182.0,3150.0,Female,3150.0,4.986301369863014
Adelie,Dream,40.8,18.4,195.0,3900.0,Male,3900.0,4.779411764705882
Adelie,Dream,36.0,18.5,186.0,3100.0,Female,3100.0,5.166666666666667
Adelie,Dream,44.1,19.7,196.0,4400.0,Male,4400.0,4.444444444444445
Adelie,Dream,37.0,16.9,185.0,3000.0,Female,3000.0,5.0
Adelie,Dream,39.6,18.8,190.0,4600.0,Male,4600.0,4.797979797979798
Adelie,Dream,41.1,19.0,182.0,3425.0,Male,3425.0,4.428223844282238
Adelie,Dream,37.5,18.9,179.0,2975.0,Male,2975.0,4.773333333333333
Adelie,Dream,36.0,17.9,190.0,3450.0,Female,3450.0,5.277777777777778
Adelie,Dream,42.3,21.2,191.0,4150.0,Male,4150.0,4.515366430260047
Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,3500.0,4.696969696969697
Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,4300.0,4.688279301745636
Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,3450.0,5.428571428571429
Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,4050.0,4.761904761904762
Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,2900.0,5.420289855072464
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,3700.0,4.613526570048309
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,3550.0,4.769230769230769
Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,3800.0,4.753694581280788
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,2850.0,4.958904109589041
Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,3750.0,5.159574468085106
Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,3150.0,5.182072829131652
Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,4400.0,4.721549636803874
Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,3600.0,4.920212765957447
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,4050.0,4.671532846715328
Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,2850.0,5.054945054945055
Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,3950.0,4.615384615384615
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,3350.0,5.492957746478873
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,4100.0,4.574209245742092
Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,3050.0,5.2924791086350975
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,4450.0,4.736842105263158
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,3600.0,5.6716417910447765
Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,3900.0,4.785894206549118
Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,3550.0,4.949494949494949
Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,4150.0,4.301310043668122
Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,3700.0,5.352112676056338
Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,4250.0,4.556074766355141
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,3700.0,4.669926650366748
Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,3900.0,4.946236559139785
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,3550.0,5.165745856353591
Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,4000.0,4.631828978622328
Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,3200.0,5.46242774566474
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,4700.0,4.568764568764569
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,3800.0,5.095367847411444
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,4200.0,5.498575498575498
Adelie,Dream,37.3,17.8,191.0,3350.0,Female,3350.0,5.120643431635389
Adelie,Dream,41.3,20.3,194.0,3550.0,Male,3550.0,4.697336561743342
Adelie,Dream,36.3,19.5,190.0,3800.0,Male,3800.0,5.234159779614325
Adelie,Dream,36.9,18.6,189.0,3500.0,Female,3500.0,5.121951219512195
Adelie,Dream,38.3,19.2,189.0,3950.0,Male,3950.0,4.934725848563969
Adelie,Dream,38.9,18.8,190.0,3600.0,Female,3600.0,4.884318766066838
Adelie,Dream,35.7,18.0,202.0,3550.0,Female,3550.0,5.658263305322128
Adelie,Dream,41.1,18.1,205.0,4300.0,Male,4300.0,4.987834549878345
Adelie,Dream,34.0,17.1,185.0,3400.0,Female,3400.0,5.4411764705882355
Adelie,Dream,39.6,18.1,186.0,4450.0,Male,4450.0,4.696969696969697
Adelie,Dream,36.2,17.3,187.0,3300.0,Female,3300.0,5.165745856353591
Adelie,Dream,40.8,18.9,208.0,4300.0,Male,4300.0,5.098039215686275
Adelie,Dream,38.1,18.6,190.0,3700.0,Female,3700.0,4.986876640419947
Adelie,Dream,40.3,18.5,196.0,4350.0,Male,4350.0,4.863523573200993
Adelie,Dream,33.1,16.1,178.0,2900.0,Female,2900.0,5.377643504531722
Adelie,Dream,43.2,18.5,192.0,4100.0,Male,4100.0,4.444444444444444
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,3725.0,5.485714285714286
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,4725.0,4.951219512195122
Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,3075.0,4.8541114058355435
Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,4250.0,5.026455026455027
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,2925.0,5.092348284960423
Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,3550.0,4.634760705289672
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,3750.0,5.155440414507772
Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,3900.0,4.973821989528796
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,3175.0,4.7506561679790025
Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,4775.0,4.560185185185185
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,3825.0,5.196850393700787
Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,4600.0,4.18859649122807
Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,3200.0,4.861460957178841
Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,4275.0,4.66824644549763
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,3900.0,4.823232323232323
Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,4075.0,4.590163934426229
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,2900.0,4.870466321243523
Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,3775.0,5.335120643431636
Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,3350.0,5.294117647058823
Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,3325.0,4.598540145985401
Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,3150.0,5.165745856353591
Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,3500.0,5.251989389920424
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,3450.0,4.378109452736318
Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,3875.0,4.879227053140097
Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,3050.0,5.284090909090908
Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,4000.0,4.901477832512315
Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,3275.0,4.922680412371134
Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,4300.0,4.698795180722891
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,3050.0,4.897435897435898
Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,4000.0,4.761904761904762
Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,3325.0,4.935064935064935
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,3500.0,4.5707656612529
Adelie,Dream,36.8,18.5,193.0,3500.0,Female,3500.0,5.244565217391305
Adelie,Dream,37.5,18.5,199.0,4475.0,Male,4475.0,5.306666666666667
Adelie,Dream,38.1,17.6,187.0,3425.0,Female,3425.0,4.908136482939632
Adelie,Dream,41.1,17.5,190.0,3900.0,Male,3900.0,4.622871046228711
Adelie,Dream,35.6,17.5,191.0,3175.0,Female,3175.0,5.365168539325842
Adelie,Dream,40.2,20.1,200.0,3975.0,Male,3975.0,4.975124378109452
Adelie,Dream,37.0,16.5,185.0,3400.0,Female,3400.0,5.0
Adelie,Dream,39.7,17.9,193.0,4250.0,Male,4250.0,4.861460957178841
Adelie,Dream,40.2,17.1,193.0,3400.0,Female,3400.0,4.800995024875622
Adelie,Dream,40.6,17.2,187.0,3475.0,Male,3475.0,4.605911330049261
Adelie,Dream,32.1,15.5,188.0,3050.0,Female,3050.0,5.8566978193146415
Adelie,Dream,40.7,17.0,190.0,3725.0,Male,3725.0,4.668304668304668
Adelie,Dream,37.3,16.8,192.0,3000.0,Female,3000.0,5.14745308310992
Adelie,Dream,39.0,18.7,185.0,3650.0,Male,3650.0,4.743589743589744
Adelie,Dream,39.2,18.6,190.0,4250.0,Male,4250.0,4.846938775510203
Adelie,Dream,36.6,18.4,184.0,3475.0,Female,3475.0,5.027322404371584
Adelie,Dream,36.0,17.8,195.0,3450.0,Female,3450.0,5.416666666666667
Adelie,Dream,37.8,18.1,193.0,3750.0,Male,3750.0,5.105820105820106
Adelie,Dream,36.0,17.1,187.0,3700.0,Female,3700.0,5.194444444444445
Adelie,Dream,41.5,18.5,201.0,4000.0,Male,4000.0,4.843373493975903
Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,3500.0,4.129032258064516
Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,3900.0,3.92
Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,3650.0,3.7621832358674467
Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,3525.0,4.140969162995595
Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,3725.0,3.738140417457305
Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,3950.0,4.380530973451327
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,3250.0,3.86117136659436
Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,3750.0,3.8401559454191037
Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,4150.0,4.239130434782608
Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,3700.0,3.8596491228070176
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,3800.0,4.141630901287553
Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,3775.0,3.7524177949709863
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,3700.0,3.9361702127659575
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,4050.0,3.8653846153846154
Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,3575.0,4.139433551198257
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,4050.0,3.98019801980198
Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,3300.0,3.9165009940357853
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,3700.0,3.1206896551724137
Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,3450.0,4.094827586206897
Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,4400.0,3.9634146341463414
Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,3600.0,4.268867924528302
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,3400.0,3.9381443298969074
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,2900.0,4.328703703703703
Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,3800.0,3.8142292490118574
Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,3300.0,4.175588865096359
Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,4150.0,3.7884615384615383
Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,3400.0,3.9603960396039604
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,3800.0,4.040404040404041
Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,3700.0,4.116379310344827
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,4550.0,3.882575757575758
Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,3200.0,4.572127139364303
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,4300.0,3.7084870848708484
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,3350.0,4.4
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,4100.0,3.980392156862745
Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,3600.0,3.923541247484909
Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,3900.0,4.189473684210526
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,3850.0,4.0966386554621845
Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,4800.0,4.038461538461538
Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,2700.0,4.093816631130064
Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,4500.0,3.8317757009345796
Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,3950.0,4.285714285714286
Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,3650.0,4.0476190476190474
Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,3550.0,3.850687622789784
Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,3500.0,4.3076923076923075
Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,3675.0,3.850687622789784
Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,4450.0,3.956692913385827
Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,3400.0,3.7924151696606785
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,4300.0,4.326530612244898
Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,3250.0,3.6310679611650487
Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,3675.0,3.9759036144578315
Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,3325.0,4.137214137214137
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,3950.0,3.910505836575876
Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,3600.0,4.223194748358861
Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,4050.0,4.003944773175542
Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,3350.0,4.4
Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,3450.0,3.7739463601532566
Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,3250.0,4.225663716814159
Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,4050.0,4.11764705882353
Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,3800.0,4.0239043824701195
Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,3525.0,4.254385964912281
Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,3950.0,3.969171483622351
Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,3650.0,4.038461538461538
Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,3650.0,4.266958424507658
Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,4000.0,3.709677419354839
Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,3400.0,4.64367816091954
Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,3775.0,3.8911290322580645
Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,4100.0,4.133858267716536
Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,3775.0,3.9442231075697207
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,4500.0,4.57700650759219
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,5700.0,4.6
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,4450.0,4.312114989733059
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male,5700.0,4.36
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,5400.0,4.516806722689076
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,4550.0,4.516129032258065
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,4800.0,4.647577092511013
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,5200.0,4.689507494646681
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,4400.0,4.826789838337183
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,5150.0,4.594017094017095
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,4650.0,5.232273838630807
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,5550.0,4.408163265306122
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,4650.0,4.7032967032967035
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male,5850.0,4.400826446280992
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,4200.0,4.585152838427948
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,5850.0,4.401622718052739
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,4150.0,5.0
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,6300.0,4.491869918699186
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female,4800.0,4.523809523809524
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,5350.0,4.558521560574948
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,5700.0,4.342629482071713
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female,5000.0,4.767184035476718
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,4400.0,4.580645161290323
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,5050.0,4.643628509719223
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female,5000.0,5.011655011655012
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male,5100.0,4.663774403470716
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,Male,4100.0,4.853932584269663
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male,5650.0,4.497907949790795
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,Female,4600.0,4.356846473029045
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male,5550.0,4.4
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male,5250.0,4.693446088794926
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female,4700.0,4.8831775700934585
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female,5050.0,4.58980044345898
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male,6050.0,3.859060402684564
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,5150.0,4.480651731160896
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,5400.0,4.545454545454546
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,4950.0,5.0
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,5250.0,4.9324324324324325
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,4350.0,4.7272727272727275
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male,5350.0,4.271047227926077
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female,3950.0,4.871194379391101
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,5700.0,4.536290322580645
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,4300.0,4.635761589403974
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,4750.0,4.354838709677419
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male,5550.0,4.396039603960396
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female,4900.0,4.977064220183486
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female,4200.0,4.615384615384615
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,5400.0,4.455445544554456
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,5100.0,4.743875278396437
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,5300.0,4.756637168141593
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female,4850.0,4.506437768240343
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,5300.0,4.536082474226804
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,4400.0,4.656319290465632
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male,5000.0,4.491017964071856
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,4900.0,4.666666666666667
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male,5050.0,4.888888888888889
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female,4300.0,4.748858447488585
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,5000.0,4.835164835164835
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female,4450.0,4.814814814814815
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,Male,5550.0,4.444444444444445
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,4200.0,4.591611479028698
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,5300.0,4.783549783549783
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female,4400.0,4.682713347921225
Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male,5650.0,4.25414364640884
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,4700.0,4.781659388646289
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,Male,5700.0,4.61847389558233
Gentoo,Biscoe,46.2,14.4,214.0,4650.0,Male,4650.0,4.632034632034632
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male,5800.0,4.626262626262626
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,4700.0,5.057471264367816
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,5550.0,4.398422090729783
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female,4750.0,4.528301886792453
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male,5000.0,4.762931034482759
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,5100.0,4.5850622406639
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female,5200.0,4.666666666666667
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,4700.0,4.655172413793103
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,5800.0,4.732510288065844
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,4600.0,4.4
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male,6000.0,4.305283757338552
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female,4750.0,4.756637168141593
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male,5950.0,4.933628318584071
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female,4625.0,4.317718940936864
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,Male,5450.0,4.20952380952381
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female,4725.0,4.472573839662448
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,Male,5350.0,4.48
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,4750.0,4.721603563474388
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,Male,5600.0,4.488188976377953
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female,4600.0,5.023041474654378
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,5300.0,4.249512670565302
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female,4875.0,4.463157894736842
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male,5550.0,4.414587332053743
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,4950.0,4.589473684210526
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,5400.0,4.3678160919540225
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,4750.0,4.65934065934066
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male,5650.0,4.525252525252525
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female,4850.0,4.808988764044944
