mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,horsepower_capped,fuel_economy_type
31.0,4,71.0,65.0,1773,19.0,71,japan,toyota corolla 1200,65.0,High Economy (>30 MPG)
35.0,4,72.0,69.0,1613,18.0,71,japan,datsun 1200,69.0,High Economy (>30 MPG)
27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen model 111,60.0,Mid Economy (20-30 MPG)
26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth cricket,70.0,Mid Economy (20-30 MPG)
24.0,4,113.0,95.0,2278,15.5,72,japan,toyota corona hardtop,95.0,Mid Economy (20-30 MPG)
25.0,4,97.5,80.0,2126,17.0,72,usa,dodge colt hardtop,80.0,Mid Economy (20-30 MPG)
23.0,4,97.0,54.0,2254,23.5,72,europe,volkswagen type 3,54.0,Mid Economy (20-30 MPG)
20.0,4,140.0,90.0,2408,19.5,72,usa,chevrolet vega,90.0,Mid Economy (20-30 MPG)
21.0,4,122.0,86.0,2226,16.5,72,usa,ford pinto runabout,86.0,Mid Economy (20-30 MPG)
13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet impala,165.0,Low Economy (<20 MPG)
14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina,175.0,Low Economy (<20 MPG)
15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth fury iii,150.0,Low Economy (<20 MPG)
14.0,8,351.0,153.0,4129,13.0,72,usa,ford galaxie 500,153.0,Low Economy (<20 MPG)
17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst,150.0,Low Economy (<20 MPG)
11.0,8,429.0,208.0,4633,11.0,72,usa,mercury marquis,198.5,Low Economy (<20 MPG)
13.0,8,350.0,155.0,4502,13.5,72,usa,buick lesabre custom,155.0,Low Economy (<20 MPG)
12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile delta 88 royale,160.0,Low Economy (<20 MPG)
13.0,8,400.0,190.0,4422,12.5,72,usa,chrysler newport royal,190.0,Low Economy (<20 MPG)
19.0,3,70.0,97.0,2330,13.5,72,japan,mazda rx2 coupe,97.0,Low Economy (<20 MPG)
15.0,8,304.0,150.0,3892,12.5,72,usa,amc matador (sw),150.0,Low Economy (<20 MPG)
13.0,8,307.0,130.0,4098,14.0,72,usa,chevrolet chevelle concours (sw),130.0,Low Economy (<20 MPG)
13.0,8,302.0,140.0,4294,16.0,72,usa,ford gran torino (sw),140.0,Low Economy (<20 MPG)
14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth satellite custom (sw),150.0,Low Economy (<20 MPG)
18.0,4,121.0,112.0,2933,14.5,72,europe,volvo 145e (sw),112.0,Low Economy (<20 MPG)
22.0,4,121.0,76.0,2511,18.0,72,europe,volkswagen 411 (sw),76.0,Mid Economy (20-30 MPG)
21.0,4,120.0,87.0,2979,19.5,72,europe,peugeot 504 (sw),87.0,Mid Economy (20-30 MPG)
26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12 (sw),69.0,Mid Economy (20-30 MPG)
22.0,4,122.0,86.0,2395,16.0,72,usa,ford pinto (sw),86.0,Mid Economy (20-30 MPG)
28.0,4,97.0,92.0,2288,17.0,72,japan,datsun 510 (sw),92.0,Mid Economy (20-30 MPG)
23.0,4,120.0,97.0,2506,14.5,72,japan,toyouta corona mark ii (sw),97.0,Mid Economy (20-30 MPG)
28.0,4,98.0,80.0,2164,15.0,72,usa,dodge colt (sw),80.0,Mid Economy (20-30 MPG)
27.0,4,97.0,88.0,2100,16.5,72,japan,toyota corolla 1600 (sw),88.0,Mid Economy (20-30 MPG)
13.0,8,350.0,175.0,4100,13.0,73,usa,buick century 350,175.0,Low Economy (<20 MPG)
14.0,8,304.0,150.0,3672,11.5,73,usa,amc matador,150.0,Low Economy (<20 MPG)
13.0,8,350.0,145.0,3988,13.0,73,usa,chevrolet malibu,145.0,Low Economy (<20 MPG)
14.0,8,302.0,137.0,4042,14.5,73,usa,ford gran torino,137.0,Low Economy (<20 MPG)
15.0,8,318.0,150.0,3777,12.5,73,usa,dodge coronet custom,150.0,Low Economy (<20 MPG)
12.0,8,429.0,198.0,4952,11.5,73,usa,mercury marquis brougham,198.0,Low Economy (<20 MPG)
13.0,8,400.0,150.0,4464,12.0,73,usa,chevrolet caprice classic,150.0,Low Economy (<20 MPG)
13.0,8,351.0,158.0,4363,13.0,73,usa,ford ltd,158.0,Low Economy (<20 MPG)
14.0,8,318.0,150.0,4237,14.5,73,usa,plymouth fury gran sedan,150.0,Low Economy (<20 MPG)
13.0,8,440.0,215.0,4735,11.0,73,usa,chrysler new yorker brougham,198.5,Low Economy (<20 MPG)
12.0,8,455.0,225.0,4951,11.0,73,usa,buick electra 225 custom,198.5,Low Economy (<20 MPG)
13.0,8,360.0,175.0,3821,11.0,73,usa,amc ambassador brougham,175.0,Low Economy (<20 MPG)
18.0,6,225.0,105.0,3121,16.5,73,usa,plymouth valiant,105.0,Low Economy (<20 MPG)
16.0,6,250.0,100.0,3278,18.0,73,usa,chevrolet nova custom,100.0,Low Economy (<20 MPG)
18.0,6,232.0,100.0,2945,16.0,73,usa,amc hornet,100.0,Low Economy (<20 MPG)
18.0,6,250.0,88.0,3021,16.5,73,usa,ford maverick,88.0,Low Economy (<20 MPG)
23.0,6,198.0,95.0,2904,16.0,73,usa,plymouth duster,95.0,Mid Economy (20-30 MPG)
26.0,4,97.0,46.0,1950,21.0,73,europe,volkswagen super beetle,46.0,Mid Economy (20-30 MPG)
11.0,8,400.0,150.0,4997,14.0,73,usa,chevrolet impala,150.0,Low Economy (<20 MPG)
12.0,8,400.0,167.0,4906,12.5,73,usa,ford country,167.0,Low Economy (<20 MPG)
13.0,8,360.0,170.0,4654,13.0,73,usa,plymouth custom suburb,170.0,Low Economy (<20 MPG)
12.0,8,350.0,180.0,4499,12.5,73,usa,oldsmobile vista cruiser,180.0,Low Economy (<20 MPG)
18.0,6,232.0,100.0,2789,15.0,73,usa,amc gremlin,100.0,Low Economy (<20 MPG)
20.0,4,97.0,88.0,2279,19.0,73,japan,toyota carina,88.0,Mid Economy (20-30 MPG)
21.0,4,140.0,72.0,2401,19.5,73,usa,chevrolet vega,72.0,Mid Economy (20-30 MPG)
22.0,4,108.0,94.0,2379,16.5,73,japan,datsun 610,94.0,Mid Economy (20-30 MPG)
18.0,3,70.0,90.0,2124,13.5,73,japan,maxda rx3,90.0,Low Economy (<20 MPG)
19.0,4,122.0,85.0,2310,18.5,73,usa,ford pinto,85.0,Low Economy (<20 MPG)
21.0,6,155.0,107.0,2472,14.0,73,usa,mercury capri v6,107.0,Mid Economy (20-30 MPG)
26.0,4,98.0,90.0,2265,15.5,73,europe,fiat 124 sport coupe,90.0,Mid Economy (20-30 MPG)
15.0,8,350.0,145.0,4082,13.0,73,usa,chevrolet monte carlo s,145.0,Low Economy (<20 MPG)
16.0,8,400.0,230.0,4278,9.5,73,usa,pontiac grand prix,198.5,Low Economy (<20 MPG)
29.0,4,68.0,49.0,1867,19.5,73,europe,fiat 128,49.0,Mid Economy (20-30 MPG)
24.0,4,116.0,75.0,2158,15.5,73,europe,opel manta,75.0,Mid Economy (20-30 MPG)
20.0,4,114.0,91.0,2582,14.0,73,europe,audi 100ls,91.0,Mid Economy (20-30 MPG)
19.0,4,121.0,112.0,2868,15.5,73,europe,volvo 144ea,112.0,Low Economy (<20 MPG)
15.0,8,318.0,150.0,3399,11.0,73,usa,dodge dart custom,150.0,Low Economy (<20 MPG)
24.0,4,121.0,110.0,2660,14.0,73,europe,saab 99le,110.0,Mid Economy (20-30 MPG)
20.0,6,156.0,122.0,2807,13.5,73,japan,toyota mark ii,122.0,Mid Economy (20-30 MPG)
11.0,8,350.0,180.0,3664,11.0,73,usa,oldsmobile omega,180.0,Low Economy (<20 MPG)
20.0,6,198.0,95.0,3102,16.5,74,usa,plymouth duster,95.0,Mid Economy (20-30 MPG)
21.0,6,200.0,104.46938775510205,2875,17.0,74,usa,ford maverick,104.46938775510205,Mid Economy (20-30 MPG)
19.0,6,232.0,100.0,2901,16.0,74,usa,amc hornet,100.0,Low Economy (<20 MPG)
15.0,6,250.0,100.0,3336,17.0,74,usa,chevrolet nova,100.0,Low Economy (<20 MPG)
31.0,4,79.0,67.0,1950,19.0,74,japan,datsun b210,67.0,High Economy (>30 MPG)
26.0,4,122.0,80.0,2451,16.5,74,usa,ford pinto,80.0,Mid Economy (20-30 MPG)
32.0,4,71.0,65.0,1836,21.0,74,japan,toyota corolla 1200,65.0,High Economy (>30 MPG)
25.0,4,140.0,75.0,2542,17.0,74,usa,chevrolet vega,75.0,Mid Economy (20-30 MPG)
16.0,6,250.0,100.0,3781,17.0,74,usa,chevrolet chevelle malibu classic,100.0,Low Economy (<20 MPG)
16.0,6,258.0,110.0,3632,18.0,74,usa,amc matador,110.0,Low Economy (<20 MPG)
18.0,6,225.0,105.0,3613,16.5,74,usa,plymouth satellite sebring,105.0,Low Economy (<20 MPG)
16.0,8,302.0,140.0,4141,14.0,74,usa,ford gran torino,140.0,Low Economy (<20 MPG)
13.0,8,350.0,150.0,4699,14.5,74,usa,buick century luxus (sw),150.0,Low Economy (<20 MPG)
14.0,8,318.0,150.0,4457,13.5,74,usa,dodge coronet custom (sw),150.0,Low Economy (<20 MPG)
14.0,8,302.0,140.0,4638,16.0,74,usa,ford gran torino (sw),140.0,Low Economy (<20 MPG)
14.0,8,304.0,150.0,4257,15.5,74,usa,amc matador (sw),150.0,Low Economy (<20 MPG)
29.0,4,98.0,83.0,2219,16.5,74,europe,audi fox,83.0,Mid Economy (20-30 MPG)
26.0,4,79.0,67.0,1963,15.5,74,europe,volkswagen dasher,67.0,Mid Economy (20-30 MPG)
26.0,4,97.0,78.0,2300,14.5,74,europe,opel manta,78.0,Mid Economy (20-30 MPG)
31.0,4,76.0,52.0,1649,16.5,74,japan,toyota corona,52.0,High Economy (>30 MPG)
32.0,4,83.0,61.0,2003,19.0,74,japan,datsun 710,61.0,High Economy (>30 MPG)
28.0,4,90.0,75.0,2125,14.5,74,usa,dodge colt,75.0,Mid Economy (20-30 MPG)
24.0,4,90.0,75.0,2108,15.5,74,europe,fiat 128,75.0,Mid Economy (20-30 MPG)
26.0,4,116.0,75.0,2246,14.0,74,europe,fiat 124 tc,75.0,Mid Economy (20-30 MPG)
24.0,4,120.0,97.0,2489,15.0,74,japan,honda civic,97.0,Mid Economy (20-30 MPG)
26.0,4,108.0,93.0,2391,15.5,74,japan,subaru,93.0,Mid Economy (20-30 MPG)
31.0,4,79.0,67.0,2000,16.0,74,europe,fiat x1.9,67.0,High Economy (>30 MPG)
19.0,6,225.0,95.0,3264,16.0,75,usa,plymouth valiant custom,95.0,Low Economy (<20 MPG)
18.0,6,250.0,105.0,3459,16.0,75,usa,chevrolet nova,105.0,Low Economy (<20 MPG)
15.0,6,250.0,72.0,3432,21.0,75,usa,mercury monarch,72.0,Low Economy (<20 MPG)
15.0,6,250.0,72.0,3158,19.5,75,usa,ford maverick,72.0,Low Economy (<20 MPG)
16.0,8,400.0,170.0,4668,11.5,75,usa,pontiac catalina,170.0,Low Economy (<20 MPG)
15.0,8,350.0,145.0,4440,14.0,75,usa,chevrolet bel air,145.0,Low Economy (<20 MPG)
16.0,8,318.0,150.0,4498,14.5,75,usa,plymouth grand fury,150.0,Low Economy (<20 MPG)
14.0,8,351.0,148.0,4657,13.5,75,usa,ford ltd,148.0,Low Economy (<20 MPG)
17.0,6,231.0,110.0,3907,21.0,75,usa,buick century,110.0,Low Economy (<20 MPG)
16.0,6,250.0,105.0,3897,18.5,75,usa,chevroelt chevelle malibu,105.0,Low Economy (<20 MPG)
15.0,6,258.0,110.0,3730,19.0,75,usa,amc matador,110.0,Low Economy (<20 MPG)
18.0,6,225.0,95.0,3785,19.0,75,usa,plymouth fury,95.0,Low Economy (<20 MPG)
21.0,6,231.0,110.0,3039,15.0,75,usa,buick skyhawk,110.0,Mid Economy (20-30 MPG)
20.0,8,262.0,110.0,3221,13.5,75,usa,chevrolet monza 2+2,110.0,Mid Economy (20-30 MPG)
13.0,8,302.0,129.0,3169,12.0,75,usa,ford mustang ii,129.0,Low Economy (<20 MPG)
29.0,4,97.0,75.0,2171,16.0,75,japan,toyota corolla,75.0,Mid Economy (20-30 MPG)
23.0,4,140.0,83.0,2639,17.0,75,usa,ford pinto,83.0,Mid Economy (20-30 MPG)
20.0,6,232.0,100.0,2914,16.0,75,usa,amc gremlin,100.0,Mid Economy (20-30 MPG)
23.0,4,140.0,78.0,2592,18.5,75,usa,pontiac astro,78.0,Mid Economy (20-30 MPG)
24.0,4,134.0,96.0,2702,13.5,75,japan,toyota corona,96.0,Mid Economy (20-30 MPG)
25.0,4,90.0,71.0,2223,16.5,75,europe,volkswagen dasher,71.0,Mid Economy (20-30 MPG)
24.0,4,119.0,97.0,2545,17.0,75,japan,datsun 710,97.0,Mid Economy (20-30 MPG)
18.0,6,171.0,97.0,2984,14.5,75,usa,ford pinto,97.0,Low Economy (<20 MPG)
29.0,4,90.0,70.0,1937,14.0,75,europe,volkswagen rabbit,70.0,Mid Economy (20-30 MPG)
19.0,6,232.0,90.0,3211,17.0,75,usa,amc pacer,90.0,Low Economy (<20 MPG)
23.0,4,115.0,95.0,2694,15.0,75,europe,audi 100ls,95.0,Mid Economy (20-30 MPG)
23.0,4,120.0,88.0,2957,17.0,75,europe,peugeot 504,88.0,Mid Economy (20-30 MPG)
22.0,4,121.0,98.0,2945,14.5,75,europe,volvo 244dl,98.0,Mid Economy (20-30 MPG)
25.0,4,121.0,115.0,2671,13.5,75,europe,saab 99le,115.0,Mid Economy (20-30 MPG)
33.0,4,91.0,53.0,1795,17.5,75,japan,honda civic cvcc,53.0,High Economy (>30 MPG)
28.0,4,107.0,86.0,2464,15.5,76,europe,fiat 131,86.0,Mid Economy (20-30 MPG)
25.0,4,116.0,81.0,2220,16.9,76,europe,opel 1900,81.0,Mid Economy (20-30 MPG)
25.0,4,140.0,92.0,2572,14.9,76,usa,capri ii,92.0,Mid Economy (20-30 MPG)
26.0,4,98.0,79.0,2255,17.7,76,usa,dodge colt,79.0,Mid Economy (20-30 MPG)
27.0,4,101.0,83.0,2202,15.3,76,europe,renault 12tl,83.0,Mid Economy (20-30 MPG)
17.5,8,305.0,140.0,4215,13.0,76,usa,chevrolet chevelle malibu classic,140.0,Low Economy (<20 MPG)
16.0,8,318.0,150.0,4190,13.0,76,usa,dodge coronet brougham,150.0,Low Economy (<20 MPG)
15.5,8,304.0,120.0,3962,13.9,76,usa,amc matador,120.0,Low Economy (<20 MPG)
14.5,8,351.0,152.0,4215,12.8,76,usa,ford gran torino,152.0,Low Economy (<20 MPG)
22.0,6,225.0,100.0,3233,15.4,76,usa,plymouth valiant,100.0,Mid Economy (20-30 MPG)
22.0,6,250.0,105.0,3353,14.5,76,usa,chevrolet nova,105.0,Mid Economy (20-30 MPG)
24.0,6,200.0,81.0,3012,17.6,76,usa,ford maverick,81.0,Mid Economy (20-30 MPG)
22.5,6,232.0,90.0,3085,17.6,76,usa,amc hornet,90.0,Mid Economy (20-30 MPG)
29.0,4,85.0,52.0,2035,22.2,76,usa,chevrolet chevette,52.0,Mid Economy (20-30 MPG)
24.5,4,98.0,60.0,2164,22.1,76,usa,chevrolet woody,60.0,Mid Economy (20-30 MPG)
29.0,4,90.0,70.0,1937,14.2,76,europe,vw rabbit,70.0,Mid Economy (20-30 MPG)
33.0,4,91.0,53.0,1795,17.4,76,japan,honda civic,53.0,High Economy (>30 MPG)
20.0,6,225.0,100.0,3651,17.7,76,usa,dodge aspen se,100.0,Mid Economy (20-30 MPG)
18.0,6,250.0,78.0,3574,21.0,76,usa,ford granada ghia,78.0,Low Economy (<20 MPG)
18.5,6,250.0,110.0,3645,16.2,76,usa,pontiac ventura sj,110.0,Low Economy (<20 MPG)
17.5,6,258.0,95.0,3193,17.8,76,usa,amc pacer d/l,95.0,Low Economy (<20 MPG)
29.5,4,97.0,71.0,1825,12.2,76,europe,volkswagen rabbit,71.0,Mid Economy (20-30 MPG)
32.0,4,85.0,70.0,1990,17.0,76,japan,datsun b-210,70.0,High Economy (>30 MPG)
28.0,4,97.0,75.0,2155,16.4,76,japan,toyota corolla,75.0,Mid Economy (20-30 MPG)
26.5,4,140.0,72.0,2565,13.6,76,usa,ford pinto,72.0,Mid Economy (20-30 MPG)
20.0,4,130.0,102.0,3150,15.7,76,europe,volvo 245,102.0,Mid Economy (20-30 MPG)
13.0,8,318.0,150.0,3940,13.2,76,usa,plymouth volare premier v8,150.0,Low Economy (<20 MPG)
19.0,4,120.0,88.0,3270,21.9,76,europe,peugeot 504,88.0,Low Economy (<20 MPG)
19.0,6,156.0,108.0,2930,15.5,76,japan,toyota mark ii,108.0,Low Economy (<20 MPG)
16.5,6,168.0,120.0,3820,16.7,76,europe,mercedes-benz 280s,120.0,Low Economy (<20 MPG)
16.5,8,350.0,180.0,4380,12.1,76,usa,cadillac seville,180.0,Low Economy (<20 MPG)
13.0,8,350.0,145.0,4055,12.0,76,usa,chevy c10,145.0,Low Economy (<20 MPG)
13.0,8,302.0,130.0,3870,15.0,76,usa,ford f108,130.0,Low Economy (<20 MPG)
13.0,8,318.0,150.0,3755,14.0,76,usa,dodge d100,150.0,Low Economy (<20 MPG)
31.5,4,98.0,68.0,2045,18.5,77,japan,honda accord cvcc,68.0,High Economy (>30 MPG)
30.0,4,111.0,80.0,2155,14.8,77,usa,buick opel isuzu deluxe,80.0,High Economy (>30 MPG)
36.0,4,79.0,58.0,1825,18.6,77,europe,renault 5 gtl,58.0,High Economy (>30 MPG)
25.5,4,122.0,96.0,2300,15.5,77,usa,plymouth arrow gs,96.0,Mid Economy (20-30 MPG)
33.5,4,85.0,70.0,1945,16.8,77,japan,datsun f-10 hatchback,70.0,High Economy (>30 MPG)
17.5,8,305.0,145.0,3880,12.5,77,usa,chevrolet caprice classic,145.0,Low Economy (<20 MPG)
17.0,8,260.0,110.0,4060,19.0,77,usa,oldsmobile cutlass supreme,110.0,Low Economy (<20 MPG)
15.5,8,318.0,145.0,4140,13.7,77,usa,dodge monaco brougham,145.0,Low Economy (<20 MPG)
15.0,8,302.0,130.0,4295,14.9,77,usa,mercury cougar brougham,130.0,Low Economy (<20 MPG)
17.5,6,250.0,110.0,3520,16.4,77,usa,chevrolet concours,110.0,Low Economy (<20 MPG)
20.5,6,231.0,105.0,3425,16.9,77,usa,buick skylark,105.0,Mid Economy (20-30 MPG)
19.0,6,225.0,100.0,3630,17.7,77,usa,plymouth volare custom,100.0,Low Economy (<20 MPG)
18.5,6,250.0,98.0,3525,19.0,77,usa,ford granada,98.0,Low Economy (<20 MPG)
16.0,8,400.0,180.0,4220,11.1,77,usa,pontiac grand prix lj,180.0,Low Economy (<20 MPG)
15.5,8,350.0,170.0,4165,11.4,77,usa,chevrolet monte carlo landau,170.0,Low Economy (<20 MPG)
15.5,8,400.0,190.0,4325,12.2,77,usa,chrysler cordoba,190.0,Low Economy (<20 MPG)
16.0,8,351.0,149.0,4335,14.5,77,usa,ford thunderbird,149.0,Low Economy (<20 MPG)
29.0,4,97.0,78.0,1940,14.5,77,europe,volkswagen rabbit custom,78.0,Mid Economy (20-30 MPG)
24.5,4,151.0,88.0,2740,16.0,77,usa,pontiac sunbird coupe,88.0,Mid Economy (20-30 MPG)
26.0,4,97.0,75.0,2265,18.2,77,japan,toyota corolla liftback,75.0,Mid Economy (20-30 MPG)
25.5,4,140.0,89.0,2755,15.8,77,usa,ford mustang ii 2+2,89.0,Mid Economy (20-30 MPG)
30.5,4,98.0,63.0,2051,17.0,77,usa,chevrolet chevette,63.0,High Economy (>30 MPG)
33.5,4,98.0,83.0,2075,15.9,77,usa,dodge colt m/m,83.0,High Economy (>30 MPG)
30.0,4,97.0,67.0,1985,16.4,77,japan,subaru dl,67.0,High Economy (>30 MPG)
30.5,4,97.0,78.0,2190,14.1,77,europe,volkswagen dasher,78.0,High Economy (>30 MPG)
22.0,6,146.0,97.0,2815,14.5,77,japan,datsun 810,97.0,Mid Economy (20-30 MPG)
21.5,4,121.0,110.0,2600,12.8,77,europe,bmw 320i,110.0,Mid Economy (20-30 MPG)
21.5,3,80.0,110.0,2720,13.5,77,japan,mazda rx-4,110.0,Mid Economy (20-30 MPG)
43.1,4,90.0,48.0,1985,21.5,78,europe,volkswagen rabbit custom diesel,48.0,High Economy (>30 MPG)
36.1,4,98.0,66.0,1800,14.4,78,usa,ford fiesta,66.0,High Economy (>30 MPG)
32.8,4,78.0,52.0,1985,19.4,78,japan,mazda glc deluxe,52.0,High Economy (>30 MPG)
39.4,4,85.0,70.0,2070,18.6,78,japan,datsun b210 gx,70.0,High Economy (>30 MPG)
36.1,4,91.0,60.0,1800,16.4,78,japan,honda civic cvcc,60.0,High Economy (>30 MPG)
19.9,8,260.0,110.0,3365,15.5,78,usa,oldsmobile cutlass salon brougham,110.0,Low Economy (<20 MPG)
19.4,8,318.0,140.0,3735,13.2,78,usa,dodge diplomat,140.0,Low Economy (<20 MPG)
20.2,8,302.0,139.0,3570,12.8,78,usa,mercury monarch ghia,139.0,Mid Economy (20-30 MPG)
19.2,6,231.0,105.0,3535,19.2,78,usa,pontiac phoenix lj,105.0,Low Economy (<20 MPG)
20.5,6,200.0,95.0,3155,18.2,78,usa,chevrolet malibu,95.0,Mid Economy (20-30 MPG)
20.2,6,200.0,85.0,2965,15.8,78,usa,ford fairmont (auto),85.0,Mid Economy (20-30 MPG)
25.1,4,140.0,88.0,2720,15.4,78,usa,ford fairmont (man),88.0,Mid Economy (20-30 MPG)
20.5,6,225.0,100.0,3430,17.2,78,usa,plymouth volare,100.0,Mid Economy (20-30 MPG)
19.4,6,232.0,90.0,3210,17.2,78,usa,amc concord,90.0,Low Economy (<20 MPG)
20.6,6,231.0,105.0,3380,15.8,78,usa,buick century special,105.0,Mid Economy (20-30 MPG)
20.8,6,200.0,85.0,3070,16.7,78,usa,mercury zephyr,85.0,Mid Economy (20-30 MPG)
18.6,6,225.0,110.0,3620,18.7,78,usa,dodge aspen,110.0,Low Economy (<20 MPG)
